zdroj,ID,titul_verbatim,normed,gpt_ais,obal,formát,typ materiálu,zvuk / sound (on box),zvukař_cleaned,díl,ozvučen dne,středisko,úsek,aparatura,materiál,číslo krabice,obsah_verbatim,recording_technical_cs,recording_secondary_cs,recording_tertiary_cs,recording_content_cs,recording_has_multiple_content,recording_language
MWA,P202468,"O vodovodu, který zpíval v opeře","O vodovodu, který zpíval v opeře","O vodovodu, který zpíval v opeře",paper box,35 mm,207 LN,Ing. Děták,Jaroslav Děták,1,9.9.1991,3241,,,,,mez. mix,mezinárodní pás,,,,no,
MWA,P203217,O zatoulané princezně,O zatoulané princezně,O zatoulané princezně,paper box,35 mm,ORWO 205 LN,,#N/A,8,"14.12.1987, 16.12.1987",,,,,,mix,mix,,,,no,
MWA,P203218,O zatoulané princezně,O zatoulané princezně,O zatoulané princezně,paper box,35 mm,ORWO 205 LN,,#N/A,5,"18.12.1987, 12.12.1987",,,,,,mix,mix,,,,no,
MWA,P203220,O zatoulané princezně,O zatoulané princezně,O zatoulané princezně,paper box,35 mm,ORWO 205 LN,,#N/A,4,"16.12.1987, 12.12.1987",,,,,,mix,mix,,,,no,
MWA,P203216,O zatoulané princezně,O zatoulané princezně,O zatoulané princezně,paper box,35 mm,ORWO 205 LN,,#N/A,2,10.12.1987,,,,,,mix,mix,,,,no,
MWA,P203215,O zatoulané princezně,O zatoulané princezně,O zatoulané princezně,paper box,35 mm,ORWO 205 LN,,#N/A,1,"9.12.1987, 16.12.1987",,,,,,mix,mix,,,,no,
MWA,P203219,O zatoulané princezně,O zatoulané princezně,O zatoulané princezně,paper box,35 mm,ORWO 205 LN,,#N/A,,16.12.1987,,,,,,mezinárodní pás ruchy,mezinárodní pás,,,ruchy,no,
MWA,P203221,O zatoulané princezně,O zatoulané princezně,O zatoulané princezně,paper box,35 mm,ORWO 205 LN,,#N/A,3,10.12.1987,,,,,,mix,mix,,,,no,
MWA,P203222,O zatoulané princezně,O zatoulané princezně,O zatoulané princezně,paper box,35 mm,ORWO 205 LN,,#N/A,6,"15.12.1987, 16.12.1987",,,,,,mix,mix,,,,no,
MWA,P203504,O čem šumí listy,O čem šumí listy,O čem šumí listy,metal can,35 mm,ORWO,,#N/A,1;2,26.6.1990,,,Sitral,Orwo,,mezmix,mezinárodní pás,,,,no,
MWA,P201913,Obecná škola,Obecná škola,Obecná škola,metal can,35 mm,,,#N/A,1,"25.4.1991, 19.4.1991",,,Evropa,,,MP hudba,mezinárodní pás,,,hudba,no,
MWA,P201822,Obecná škola,Obecná škola,Obecná škola,metal can,35 mm,Pyral,,#N/A,5;6,29.4.1991,,,Evropa,,,MP ruchy,mezinárodní pás,,,ruchy,no,
MWA,P201916,Obecná škola,Obecná škola,Obecná škola,metal can,35 mm,,,#N/A,9,20.4./2.5.1991,,,Evropa,,,MP hudba,mezinárodní pás,,,hudba,no,
MWA,P201884,Obecná škola,Obecná škola,Obecná škola,metal can,35 mm,Pyral,,#N/A,9;10,3./5.5.1991,,,Evropa,,,MP ruchy,mezinárodní pás,,,ruchy,no,
MWA,P201911,Obecná škola,Obecná škola,Obecná škola,metal can,35 mm,,,#N/A,7,20.4.1991,,,Evropa,,,MP hudba,mezinárodní pás,,,hudba,no,
MWA,P201885,Obecná škola,Obecná škola,Obecná škola,metal can,35 mm,Pyral,,#N/A,1;2,24./25.4.1991,,,Evropa,,,MP ruchy,mezinárodní pás,,,ruchy,no,
MWA,P201886,Obecná škola,Obecná škola,Obecná škola,metal can,35 mm,Pyral,,#N/A,7;8,30.4.1991,,,Evropa,,,MP ruchy,mezinárodní pás,,,ruchy,no,
MWA,P201887,Obecná škola,Obecná škola,Obecná škola,metal can,35 mm,Pyral,,#N/A,3;4,26.4.1991,,,Evropa,,,MP ruchy,mezinárodní pás,,,ruchy,no,
MWA,P204343,Obecná škola,Obecná škola,Obecná škola,metal can,35 mm,Pyral,,#N/A,5;6,,,,Přepisové studio,,,mez. pás hudba,mezinárodní pás,,,hudba,no,
MWA,P201888,Obecná škola,Obecná škola,Obecná škola,metal can,35 mm,,,#N/A,10,20.4./6.5.1991,,,Evropa,,,MP hudba,mezinárodní pás,,,hudba,no,
MWA,P201889,Obecná škola,Obecná škola,Obecná škola,metal can,35 mm,,,#N/A,5,29.4.1991,,,Evropa,,,MP hudba,mezinárodní pás,,,hudba,no,
MWA,P201749,Obecná škola,Obecná škola,Obecná škola,metal can,35 mm,,,#N/A,8,2.5.1991,,,Evropa,,,MP hudba,mezinárodní pás,,,hudba,no,
MWA,P201750,Obecná škola,Obecná škola,Obecná škola,metal can,35 mm,,,#N/A,4,20.4.1991,,,Evropa,,,MP hudba,mezinárodní pás,,,hudba,no,
MWA,P201751,Obecná škola,Obecná škola,Obecná škola,metal can,35 mm,,,#N/A,3,20.4.1991,,,Evropa,,,MP hudba,mezinárodní pás,,,hudba,no,
MWA,P204763,Obecná škola,Obecná škola,Obecná škola,metal can,35 mm,Pyral,,#N/A,1;2,,,,Přepisové studio,,,mez. pás hudba,mezinárodní pás,,,hudba,no,
